OrderID,Department,TaskName,StartDate,EndDate,Duration,Cost,Status,Employee,Priority
OPS0047,Quality,Customer Follow-up,2023-02-08,2023-02-26,18,3029.42,Delayed,EMP041,Low
OPS0048,Warehouse,Report Generation,2023-02-09,2023-02-22,13,501.63,Delayed,EMP043,Medium
OPS0049,Production,Equipment Maintenance,2023-02-10,2023-02-21,11,3269.5,Completed,EMP016,High
OPS0050,Logistics,Quality Audit,2023-02-10,2023-02-24,14,3162.4,Completed,EMP010,Low
OPS0051,Quality,Staff Training,2023-02-11,2023-03-11,28,3227.92,Completed,EMP049,High
OPS0052,Customer Service,Staff Training,2023-02-12,2023-03-02,18,1605.01,In Progress,EMP032,High
OPS0053,Logistics,Inventory Check,2023-02-13,2023-03-12,27,4312.43,In Progress,EMP002,Medium
OPS0054,Production,Report Generation,2023-02-14,2023-03-14,28,4801.41,In Progress,EMP024,Medium
OPS0055,Warehouse,Inventory Check,2023-02-15,2023-03-12,25,1166.79,Delayed,EMP023,High
OPS0056,Logistics,Inventory Check,2023-02-15,2023-03-15,28,531.95,Completed,EMP002,Low
OPS0057,Logistics,Staff Training,2023-02-16,2023-03-07,19,1053.22,Completed,EMP038,Medium
OPS0058,Quality,Shipment Processing,2023-02-17,2023-03-13,24,4120.71,Completed,EMP031,Medium
OPS0059,Customer Service,Quality Audit,2023-02-18,2023-03-17,27,3415.56,Completed,EMP040,Low
OPS0060,Customer Service,Quality Audit,2023-02-19,2023-03-06,15,3216.63,Completed,EMP026,Medium
OPS0061,Warehouse,Customer Follow-up,2023-02-20,2023-03-01,9,2068.79,Completed,EMP029,High
OPS0062,Production,Report Generation,2023-02-20,2023-02-28,8,2931.36,In Progress,EMP003,High
OPS0063,Warehouse,Equipment Maintenance,2023-02-21,2023-03-13,20,1608.58,Delayed,EMP014,Low
OPS0064,Logistics,Report Generation,2023-02-22,2023-03-22,28,2438.28,Completed,EMP025,High
OPS0065,Logistics,Shipment Processing,2023-02-23,2023-02-24,1,3986.01,Completed,EMP048,Medium
OPS0066,Customer Service,Shipment Processing,2023-02-24,2023-02-28,4,4908.08,Completed,EMP001,Medium
OPS0067,Production,Quality Audit,2023-02-25,2023-03-11,14,4669.2,In Progress,EMP003,Medium
OPS0068,Quality,Order Fulfillment,2023-02-25,2023-03-22,25,4675.94,In Progress,EMP026,High
OPS0069,Production,Inventory Check,2023-02-26,2023-02-28,2,2070.9,Completed,EMP018,Medium
OPS0070,Logistics,Inventory Check,2023-02-27,2023-03-15,16,2397.07,Completed,EMP009,Medium
OPS0071,Quality,Quality Audit,2023-02-28,2023-03-03,3,3557.61,Completed,EMP038,Low
OPS0072,Production,Report Generation,2023-03-01,2023-03-27,26,4618.74,Completed,EMP023,High
OPS0073,Production,Shipment Processing,2023-03-02,2023-03-10,8,795.77,Completed,EMP021,Medium
OPS0074,Quality,Report Generation,2023-03-02,2023-03-08,6,1590.79,In Progress,EMP001,Medium
OPS0075,Logistics,Equipment Maintenance,2023-03-03,2023-03-19,16,782.31,Delayed,EMP021,Medium
OPS0076,Production,Order Fulfillment,2023-03-04,2023-03-28,24,3098.84,Completed,EMP027,Medium
OPS0077,Quality,Quality Audit,2023-03-05,2023-03-21,16,1600.87,In Progress,EMP042,High
OPS0078,Logistics,Inventory Check,2023-03-06,2023-03-13,7,1697.93,Delayed,EMP006,High
OPS0079,Quality,Staff Training,2023-03-07,2023-03-20,13,447.49,Completed,EMP044,Medium
OPS0080,Quality,Report Generation,2023-03-07,2023-03-20,13,1814.0,Completed,EMP036,Medium
OPS0081,Production,Shipment Processing,2023-03-08,2023-03-13,5,4326.23,Delayed,EMP028,Medium
OPS0082,Logistics,Staff Training,2023-03-09,2023-04-03,25,1242.06,Completed,EMP045,High
OPS0083,Production,Equipment Maintenance,2023-03-10,2023-03-30,20,3506.42,Delayed,EMP017,High
OPS0084,Warehouse,Quality Audit,2023-03-11,2023-04-02,22,3185.18,Delayed,EMP040,High
OPS0085,Warehouse,Report Generation,2023-03-12,2023-03-30,18,4331.07,In Progress,EMP003,High
OPS0086,Logistics,Inventory Check,2023-03-12,2023-03-27,15,748.21,In Progress,EMP012,Medium
OPS0087,Quality,Report Generation,2023-03-13,2023-03-31,18,4890.19,In Progress,EMP039,Low
OPS0088,Production,Order Fulfillment,2023-03-14,2023-03-16,2,2954.88,In Progress,EMP012,High
OPS0089,Production,Customer Follow-up,2023-03-15,2023-03-25,10,4977.82,Completed,EMP002,Medium
OPS0090,Logistics,Staff Training,2023-03-16,2023-04-08,23,4566.42,Completed,EMP046,High
OPS0091,Logistics,Order Fulfillment,2023-03-17,2023-03-30,13,1185.43,Completed,EMP022,Medium
OPS0092,Warehouse,Equipment Maintenance,2023-03-17,2023-04-04,18,375.19,In Progress,EMP023,High
OPS0093,Customer Service,Inventory Check,2023-03-18,2023-04-02,15,1352.63,Completed,EMP030,Low
OPS0094,Logistics,Staff Training,2023-03-19,2023-03-31,12,2685.06,Completed,EMP005,Medium
OPS0095,Customer Service,Equipment Maintenance,2023-03-20,2023-04-04,15,940.82,Completed,EMP009,Low
OPS0096,Logistics,Order Fulfillment,2023-03-21,2023-04-03,13,920.55,In Progress,EMP021,Low
OPS0097,Quality,Order Fulfillment,2023-03-22,2023-04-09,18,2366.71,Delayed,EMP011,Medium
OPS0098,Quality,Customer Follow-up,2023-03-22,2023-04-06,15,263.01,Delayed,EMP005,Medium
OPS0099,Warehouse,Staff Training,2023-03-23,2023-04-17,25,697.25,Completed,EMP035,High
OPS0100,Warehouse,Inventory Check,2023-03-24,2023-04-16,23,2137.72,Delayed,EMP027,Medium
OPS0101,Customer Service,Order Fulfillment,2023-03-25,2023-04-05,11,409.34,In Progress,EMP049,Low
OPS0102,Logistics,Quality Audit,2023-03-26,2023-04-14,19,2044.1,Completed,EMP002,High
OPS0103,Production,Customer Follow-up,2023-03-27,2023-03-30,3,2422.63,Completed,EMP024,Low
OPS0104,Warehouse,Equipment Maintenance,2023-03-27,2023-04-03,7,2311.21,Completed,EMP031,Medium
OPS0105,Production,Staff Training,2023-03-28,2023-04-18,21,4358.96,Delayed,EMP033,Low
OPS0106,Production,Shipment Processing,2023-03-29,2023-04-24,26,2697.31,Completed,EMP039,Low
OPS0107,Logistics,Shipment Processing,2023-03-30,2023-04-13,14,2393.1,Completed,EMP030,Medium
OPS0108,Customer Service,Inventory Check,2023-03-31,2023-04-14,14,2112.48,In Progress,EMP046,Medium
OPS0109,Logistics,Quality Audit,2023-04-01,2023-04-23,22,4106.35,Completed,EMP037,Medium
OPS0110,Warehouse,Order Fulfillment,2023-04-01,2023-04-14,13,4485.78,Completed,EMP028,Low
OPS0111,Production,Shipment Processing,2023-04-02,2023-04-14,12,4280.89,In Progress,EMP031,Low
OPS0112,Logistics,Inventory Check,2023-04-03,2023-04-27,24,3400.38,Completed,EMP011,Low
OPS0113,Logistics,Equipment Maintenance,2023-04-04,2023-04-13,9,773.07,In Progress,EMP023,Medium
OPS0114,Logistics,Customer Follow-up,2023-04-05,2023-04-06,1,1456.66,Completed,EMP002,Medium
OPS0115,Warehouse,Quality Audit,2023-04-06,2023-04-25,19,325.71,In Progress,EMP040,Low
OPS0116,Customer Service,Quality Audit,2023-04-06,2023-04-17,11,4661.04,In Progress,EMP041,Medium
OPS0117,Logistics,Report Generation,2023-04-07,2023-04-30,23,3337.91,Completed,EMP027,Low
OPS0118,Warehouse,Inventory Check,2023-04-08,2023-04-30,22,3757.18,Completed,EMP035,Medium
OPS0119,Production,Inventory Check,2023-04-09,2023-05-02,23,1626.7,In Progress,EMP002,High
OPS0120,Quality,Report Generation,2023-04-10,2023-05-04,24,4243.7,In Progress,EMP039,Medium
OPS0121,Warehouse,Customer Follow-up,2023-04-11,2023-05-03,22,1372.06,In Progress,EMP037,Medium
OPS0122,Quality,Order Fulfillment,2023-04-11,2023-04-30,19,108.05,Delayed,EMP021,High
OPS0123,Logistics,Inventory Check,2023-04-12,2023-04-30,18,1944.43,Completed,EMP005,High
OPS0124,Logistics,Report Generation,2023-04-13,2023-04-25,12,2896.73,Completed,EMP045,Medium
OPS0125,Warehouse,Order Fulfillment,2023-04-14,2023-05-07,23,2445.65,Delayed,EMP021,High
OPS0126,Quality,Customer Follow-up,2023-04-15,2023-05-13,28,4324.17,Completed,EMP029,Medium
OPS0127,Logistics,Order Fulfillment,2023-04-16,2023-05-14,28,616.49,Completed,EMP020,Medium
OPS0128,Production,Staff Training,2023-04-16,2023-05-14,28,2813.73,Completed,EMP038,Low
OPS0129,Customer Service,Quality Audit,2023-04-17,2023-05-14,27,2613.6,Completed,EMP020,Medium
OPS0130,Customer Service,Equipment Maintenance,2023-04-18,2023-04-19,1,1478.83,Completed,EMP050,Low
OPS0131,Logistics,Quality Audit,2023-04-19,2023-05-08,19,4128.92,Delayed,EMP025,Medium
OPS0132,Quality,Quality Audit,2023-04-20,2023-05-18,28,3788.96,Completed,EMP002,High
OPS0133,Logistics,Staff Training,2023-04-21,2023-05-18,27,3691.01,Completed,EMP032,Medium
OPS0134,Quality,Order Fulfillment,2023-04-22,2023-05-12,20,4393.34,Delayed,EMP026,Medium
OPS0135,Production,Order Fulfillment,2023-04-22,2023-05-21,29,3641.64,Delayed,EMP006,Medium
OPS0136,Quality,Inventory Check,2023-04-23,2023-05-10,17,1236.02,Completed,EMP041,High
OPS0137,Logistics,Staff Training,2023-04-24,2023-04-29,5,3557.26,Completed,EMP003,Medium
OPS0138,Production,Inventory Check,2023-04-25,2023-05-21,26,1607.74,In Progress,EMP033,High
OPS0139,Warehouse,Staff Training,2023-04-26,2023-04-29,3,1286.66,In Progress,EMP001,Medium
OPS0140,Customer Service,Inventory Check,2023-04-27,2023-04-29,2,457.72,In Progress,EMP005,High
OPS0141,Logistics,Shipment Processing,2023-04-27,2023-04-30,3,3745.74,Delayed,EMP013,Medium
OPS0142,Logistics,Report Generation,2023-04-28,2023-05-06,8,3583.9,In Progress,EMP019,Medium
OPS0143,Logistics,Quality Audit,2023-04-29,2023-05-15,16,1249.05,Completed,EMP012,High
OPS0144,Production,Quality Audit,2023-04-30,2023-05-06,6,3771.96,In Progress,EMP048,Medium
OPS0145,Warehouse,Customer Follow-up,2023-05-01,2023-05-14,13,4597.42,Completed,EMP025,Medium
OPS0146,Quality,Equipment Maintenance,2023-05-02,2023-05-25,23,629.34,In Progress,EMP035,Low
OPS0147,Warehouse,Report Generation,2023-05-02,2023-05-30,28,1239.92,In Progress,EMP012,Low
OPS0148,Production,Order Fulfillment,2023-05-03,2023-05-25,22,3776.28,Completed,EMP030,Medium
OPS0149,Logistics,Equipment Maintenance,2023-05-04,2023-05-26,22,1445.08,Completed,EMP005,Medium
OPS0150,Customer Service,Shipment Processing,2023-05-05,2023-05-21,16,3160.85,Completed,EMP034,Medium
OPS0151,Logistics,Customer Follow-up,2023-05-06,2023-06-03,28,497.7,Completed,EMP022,Medium
OPS0152,Quality,Equipment Maintenance,2023-05-07,2023-05-23,16,2315.79,In Progress,EMP039,High
OPS0153,Customer Service,Customer Follow-up,2023-05-07,2023-05-10,3,3721.55,Completed,EMP013,Medium
OPS0154,Logistics,Quality Audit,2023-05-08,2023-06-05,28,3463.92,In Progress,EMP047,Medium
OPS0155,Customer Service,Order Fulfillment,2023-05-09,2023-05-22,13,4093.85,Completed,EMP003,High
OPS0156,Warehouse,Shipment Processing,2023-05-10,2023-05-24,14,4399.52,In Progress,EMP020,Medium
OPS0157,Production,Quality Audit,2023-05-11,2023-05-19,8,3888.6,In Progress,EMP031,Medium
OPS0158,Logistics,Report Generation,2023-05-12,2023-05-24,12,3390.78,In Progress,EMP005,Medium
OPS0159,Quality,Inventory Check,2023-05-12,2023-06-04,23,255.44,Completed,EMP024,High
OPS0160,Warehouse,Staff Training,2023-05-13,2023-06-05,23,2721.34,Delayed,EMP040,Medium
OPS0161,Logistics,Shipment Processing,2023-05-14,2023-06-05,22,284.72,Completed,EMP033,Medium
OPS0162,Warehouse,Order Fulfillment,2023-05-15,2023-06-05,21,4059.53,Completed,EMP008,Medium
OPS0163,Quality,Customer Follow-up,2023-05-16,2023-06-11,26,1671.55,Completed,EMP024,Medium
OPS0164,Logistics,Equipment Maintenance,2023-05-17,2023-05-25,8,2855.9,Completed,EMP050,Medium
OPS0165,Quality,Report Generation,2023-05-17,2023-06-07,21,1469.28,Delayed,EMP020,Low
OPS0166,Customer Service,Equipment Maintenance,2023-05-18,2023-06-12,25,3934.25,Completed,EMP016,High
OPS0167,Quality,Shipment Processing,2023-05-19,2023-05-28,9,4443.86,In Progress,EMP050,Low
OPS0168,Customer Service,Report Generation,2023-05-20,2023-05-21,1,2053.35,In Progress,EMP012,Medium
OPS0169,Logistics,Order Fulfillment,2023-05-21,2023-05-27,6,4328.32,Completed,EMP013,High
OPS0170,Customer Service,Shipment Processing,2023-05-22,2023-06-14,23,1408.67,In Progress,EMP045,Medium
OPS0171,Logistics,Order Fulfillment,2023-05-22,2023-06-10,19,2719.84,Completed,EMP042,High
OPS0172,Logistics,Equipment Maintenance,2023-05-23,2023-06-15,23,4307.93,Completed,EMP039,High
OPS0173,Production,Quality Audit,2023-05-24,2023-06-04,11,1696.82,Completed,EMP025,Medium
OPS0174,Logistics,Report Generation,2023-05-25,2023-06-05,11,4774.81,Delayed,EMP046,Low
OPS0175,Customer Service,Inventory Check,2023-05-26,2023-06-18,23,697.21,Delayed,EMP032,Low
OPS0176,Production,Quality Audit,2023-05-27,2023-06-09,13,189.55,Completed,EMP024,Medium
OPS0177,Production,Inventory Check,2023-05-27,2023-06-07,11,4530.26,Completed,EMP048,High
OPS0178,Logistics,Equipment Maintenance,2023-05-28,2023-06-15,18,436.38,In Progress,EMP047,Medium
OPS0179,Quality,Customer Follow-up,2023-05-29,2023-06-21,23,4960.26,Completed,EMP044,Medium
OPS0180,Quality,Report Generation,2023-05-30,2023-06-14,15,4761.84,Delayed,EMP009,Low
OPS0181,Production,Quality Audit,2023-05-31,2023-06-01,1,771.4,Completed,EMP040,Low
OPS0182,Logistics,Quality Audit,2023-06-01,2023-06-22,21,2734.16,Completed,EMP050,Low
OPS0183,Quality,Shipment Processing,2023-06-01,2023-06-26,25,1006.11,In Progress,EMP023,Medium
OPS0184,Logistics,Staff Training,2023-06-02,2023-06-09,7,2197.96,Completed,EMP050,Medium
OPS0185,Logistics,Equipment Maintenance,2023-06-03,2023-06-26,23,400.98,Delayed,EMP013,High
OPS0186,Production,Order Fulfillment,2023-06-04,2023-07-01,27,1197.23,Delayed,EMP032,Low
OPS0187,Production,Equipment Maintenance,2023-06-05,2023-06-18,13,1880.04,Completed,EMP050,High
OPS0188,Warehouse,Order Fulfillment,2023-06-06,2023-06-18,12,2249.37,Completed,EMP015,High
OPS0189,Quality,Report Generation,2023-06-06,2023-06-24,18,4889.73,Delayed,EMP036,High
OPS0190,Quality,Order Fulfillment,2023-06-07,2023-07-01,24,4058.54,Delayed,EMP049,Low
OPS0191,Quality,Customer Follow-up,2023-06-08,2023-06-27,19,3713.31,Completed,EMP005,Medium
OPS0192,Customer Service,Inventory Check,2023-06-09,2023-06-24,15,2731.5,In Progress,EMP022,Medium
OPS0193,Logistics,Order Fulfillment,2023-06-10,2023-06-18,8,4215.99,Completed,EMP016,Low
OPS0194,Production,Order Fulfillment,2023-06-11,2023-06-30,19,1762.68,Completed,EMP041,Low
OPS0195,Quality,Shipment Processing,2023-06-11,2023-06-21,10,3573.61,Delayed,EMP010,Medium
OPS0196,Warehouse,Quality Audit,2023-06-12,2023-06-19,7,4969.54,Completed,EMP024,High
OPS0197,Quality,Equipment Maintenance,2023-06-13,2023-07-01,18,1641.68,Delayed,EMP018,Low
OPS0198,Logistics,Equipment Maintenance,2023-06-14,2023-06-30,16,3402.69,Completed,EMP049,Low
OPS0199,Logistics,Report Generation,2023-06-15,2023-07-05,20,4237.14,In Progress,EMP018,Medium
OPS0200,Production,Report Generation,2023-06-16,2023-07-13,27,4587.46,Completed,EMP007,Medium
OPS0201,Customer Service,Customer Follow-up,2023-06-16,2023-06-22,6,3617.87,Completed,EMP004,High
OPS0202,Production,Order Fulfillment,2023-06-17,2023-07-14,27,1489.68,In Progress,EMP026,Low
OPS0203,Quality,Staff Training,2023-06-18,2023-06-27,9,1698.78,Completed,EMP005,Medium
OPS0204,Warehouse,Equipment Maintenance,2023-06-19,2023-07-10,21,201.71,Completed,EMP016,Medium
OPS0205,Production,Report Generation,2023-06-20,2023-07-03,13,3828.34,Completed,EMP035,High
OPS0206,Customer Service,Order Fulfillment,2023-06-21,2023-07-16,25,309.42,Completed,EMP026,Low
OPS0207,Production,Report Generation,2023-06-21,2023-07-12,21,4336.8,In Progress,EMP018,Medium
OPS0208,Logistics,Customer Follow-up,2023-06-22,2023-07-18,26,681.44,Completed,EMP029,High
OPS0209,Quality,Inventory Check,2023-06-23,2023-07-01,8,942.19,Completed,EMP023,Medium
OPS0210,Quality,Inventory Check,2023-06-24,2023-07-10,16,2434.98,Completed,EMP014,Medium
OPS0211,Quality,Report Generation,2023-06-25,2023-07-08,13,3715.61,Completed,EMP015,Medium
OPS0212,Quality,Inventory Check,2023-06-26,2023-07-09,13,781.11,Completed,EMP049,Medium
OPS0213,Quality,Report Generation,2023-06-26,2023-07-13,17,2256.35,Completed,EMP033,Medium
OPS0214,Quality,Order Fulfillment,2023-06-27,2023-07-20,23,2465.97,Completed,EMP025,Low
OPS0215,Warehouse,Shipment Processing,2023-06-28,2023-07-18,20,1140.2,In Progress,EMP021,High
OPS0216,Customer Service,Staff Training,2023-06-29,2023-07-04,5,666.24,In Progress,EMP017,High
OPS0217,Quality,Order Fulfillment,2023-06-30,2023-07-22,22,4198.46,Completed,EMP023,High
OPS0218,Customer Service,Shipment Processing,2023-07-01,2023-07-22,21,2562.08,Completed,EMP043,Medium
OPS0219,Quality,Shipment Processing,2023-07-01,2023-07-29,28,170.47,Completed,EMP017,Medium
OPS0220,Production,Equipment Maintenance,2023-07-02,2023-07-19,17,4034.61,Completed,EMP014,Low
OPS0221,Quality,Order Fulfillment,2023-07-03,2023-07-31,28,4905.89,Completed,EMP029,Medium
OPS0222,Logistics,Order Fulfillment,2023-07-04,2023-07-13,9,3069.04,Completed,EMP020,Medium
OPS0223,Warehouse,Report Generation,2023-07-05,2023-07-07,2,2568.17,Completed,EMP030,Low
OPS0224,Production,Shipment Processing,2023-07-06,2023-07-31,25,4404.24,Completed,EMP019,High
OPS0225,Production,Shipment Processing,2023-07-06,2023-08-01,26,4767.33,Completed,EMP039,Low
OPS0226,Logistics,Shipment Processing,2023-07-07,2023-07-25,18,3797.23,Completed,EMP013,Medium
OPS0227,Quality,Report Generation,2023-07-08,2023-07-17,9,2282.72,Completed,EMP018,Medium
OPS0228,Warehouse,Equipment Maintenance,2023-07-09,2023-07-15,6,3001.88,Completed,EMP023,Medium
OPS0229,Production,Order Fulfillment,2023-07-10,2023-07-21,11,3534.58,Completed,EMP046,Medium
OPS0230,Warehouse,Shipment Processing,2023-07-11,2023-08-05,25,1051.94,Completed,EMP033,High
OPS0231,Production,Inventory Check,2023-07-11,2023-08-09,29,2291.29,Completed,EMP039,Medium
OPS0232,Quality,Order Fulfillment,2023-07-12,2023-07-18,6,4166.12,Completed,EMP040,Medium
OPS0233,Production,Report Generation,2023-07-13,2023-07-19,6,3308.15,Completed,EMP018,Low
OPS0234,Production,Equipment Maintenance,2023-07-14,2023-07-27,13,2114.9,Completed,EMP009,Medium
OPS0235,Customer Service,Inventory Check,2023-07-15,2023-07-26,11,3350.48,Completed,EMP033,Low
OPS0236,Quality,Report Generation,2023-07-16,2023-07-30,14,679.29,Completed,EMP032,Medium
OPS0237,Logistics,Quality Audit,2023-07-16,2023-07-18,2,2067.34,In Progress,EMP017,Medium
OPS0238,Logistics,Order Fulfillment,2023-07-17,2023-07-25,8,3986.33,Completed,EMP019,Low
OPS0239,Quality,Quality Audit,2023-07-18,2023-07-21,3,1180.49,Completed,EMP027,Medium
OPS0240,Logistics,Report Generation,2023-07-19,2023-08-11,23,1011.21,Delayed,EMP006,Low
OPS0241,Quality,Report Generation,2023-07-20,2023-08-10,21,4759.01,Completed,EMP035,Medium
OPS0242,Logistics,Report Generation,2023-07-21,2023-07-24,3,1128.5,Completed,EMP037,Medium
OPS0243,Customer Service,Shipment Processing,2023-07-21,2023-07-22,1,1378.5,Delayed,EMP034,High
OPS0244,Logistics,Equipment Maintenance,2023-07-22,2023-08-15,24,4851.12,In Progress,EMP020,Medium
OPS0245,Production,Shipment Processing,2023-07-23,2023-08-11,19,3700.07,Completed,EMP025,High
OPS0246,Quality,Equipment Maintenance,2023-07-24,2023-08-11,18,3528.02,Completed,EMP004,Medium
OPS0247,Warehouse,Staff Training,2023-07-25,2023-08-11,17,4279.34,Completed,EMP010,High
OPS0248,Warehouse,Shipment Processing,2023-07-26,2023-08-15,20,667.53,Completed,EMP010,High
OPS0249,Quality,Quality Audit,2023-07-26,2023-08-24,29,3559.19,Completed,EMP024,High
OPS0250,Customer Service,Equipment Maintenance,2023-07-27,2023-08-20,24,2568.07,Completed,EMP021,High
OPS0251,Logistics,Shipment Processing,2023-07-28,2023-08-10,13,4162.84,Completed,EMP011,Medium
OPS0252,Customer Service,Order Fulfillment,2023-07-29,2023-08-01,3,2589.89,Delayed,EMP027,Low
OPS0253,Warehouse,Report Generation,2023-07-30,2023-07-31,1,3139.18,Delayed,EMP016,Low
OPS0254,Quality,Equipment Maintenance,2023-07-31,2023-08-04,4,2440.94,Completed,EMP026,Medium
OPS0255,Quality,Equipment Maintenance,2023-07-31,2023-08-25,25,2442.98,In Progress,EMP030,Low
OPS0256,Customer Service,Shipment Processing,2023-08-01,2023-08-14,13,3863.05,Completed,EMP049,High
OPS0257,Customer Service,Staff Training,2023-08-02,2023-08-19,17,3179.98,Delayed,EMP016,Low
OPS0258,Logistics,Shipment Processing,2023-08-03,2023-08-31,28,3202.99,Completed,EMP007,High
OPS0259,Production,Customer Follow-up,2023-08-04,2023-08-15,11,2306.38,Completed,EMP016,Medium
OPS0260,Production,Quality Audit,2023-08-05,2023-08-07,2,2702.44,Completed,EMP035,Medium
OPS0261,Logistics,Quality Audit,2023-08-05,2023-08-30,25,3754.02,Completed,EMP016,High
OPS0262,Production,Equipment Maintenance,2023-08-06,2023-08-22,16,4147.11,Completed,EMP040,Medium
OPS0263,Warehouse,Equipment Maintenance,2023-08-07,2023-08-09,2,3513.15,In Progress,EMP012,Medium
OPS0264,Production,Shipment Processing,2023-08-08,2023-09-06,29,4627.96,In Progress,EMP035,Low
OPS0265,Logistics,Quality Audit,2023-08-09,2023-08-28,19,4119.59,Completed,EMP049,Medium
OPS0266,Production,Quality Audit,2023-08-10,2023-09-02,23,2853.13,Completed,EMP021,High
OPS0267,Quality,Staff Training,2023-08-11,2023-08-30,19,3389.89,Completed,EMP050,Medium
OPS0268,Customer Service,Order Fulfillment,2023-08-11,2023-09-05,25,4638.91,Delayed,EMP043,High
